Teamname;Spieler 1;Tracke S1;Spieler 2;Tracke S2;Spieler 3;Tracke S3;Spieler 4;Tracke S4;Spieler 5;Tracke S5;Spieler 6;Tracke S6;Spieler 7;Tracke S7;Division
MINKZ Gaming;qatixx;https://rocketleague.tracker.network/rocket-league/profile/epic/qatixx/overview;aqvarll;https://rocketleague.tracker.network/rocket-league/profile/epic/aqvarll/overview;dj.;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198343016707/overview;;;;;;;;;1
ZURA Falcons;t;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198855777437/overview;j;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198824487706/overview;Conschu;https://rocketleague.tracker.network/rocket-league/profile/steam/76561199014194839/overview;;;;;;;;;1
VisionGaming;1ke;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198222712376/overview;seltt;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198803478216/overview;MaKi;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198307641111/overview;Gnagflow06;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198008942341/overview;;;;;;;1
Trinitas Esports Main;RamirRL;https://rocketleague.tracker.network/rocket-league/profile/epic/RamirRL/overview;flowz. �;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198294174977/overview;Rease;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198811008973/overview;SadSenseeeei;https://rocketleague.tracker.network/rocket-league/profile/epic/SadSenseeeei/overview;Noahsaki;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198799994330/overview;;;;;1
Asnero Esports;beiyeyw;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198026363241/overview;yusarll;https://rocketleague.tracker.network/rocket-league/profile/epic/yusarll/overview;Manu;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198995138488/overview; FishZ;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198145508829/overview;end of the world;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198355633893/overview;;;;;1
Godalions;shade;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198245527964/overview;Daiki;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198856796515/overview; wzy-.-;https://rocketleague.tracker.network/rocket-league/profile/epic/wzy-.-/overview;;;;;;;;;1
Visionary eSports ;dxniil.;https://rocketleague.tracker.network/rocket-league/profile/epic/dxniil./overview;nibbolaus.;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198314977473/overview; everjan66;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198382086299/overview;;;;;;;;;1
Team E1;snoopy;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198264881446/overview;Napyn.;https://rocketleague.tracker.network/rocket-league/profile/epic/Napyn./overview;Superzwerg.;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198212650645/overview;"qira-.-
";https://rocketleague.tracker.network/rocket-league/profile/epic/qira-.-/overview;;;;;;;1
Madness eSports;"Curti
";https://rocketleague.tracker.network/rocket-league/profile/steam/76561198444117688/overview;varo�. ^^;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198951289826/overview;Guns N' Roses;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198217376756/overview;Destrogoes.;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198900574694/overview; Selo;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198308844036/overview;;;;;1
Tempest Esports;Dreyy;https://rocketleague.tracker.network/rocket-league/profile/steam/76561199078614046/overview;blurarl;https://rocketleague.tracker.network/rocket-league/profile/epic/blurarl/overview; Reazzy;https://rocketleague.tracker.network/rocket-league/profile/steam/76561198218072327/overview;;;;;;;;;1
